ticker,first_date,last_date,rows,days_in_position,position_changes,total_cost,total_return_market,total_return_strategy_gross,total_return_strategy_net,market_perf_pct,strategy_gross_perf_pct,strategy_net_perf_pct,alpha_net_pct,max_drawdown_market_pct,max_drawdown_strategy_gross_pct,max_drawdown_strategy_net_pct,closed_trades,avg_trade_return_pct,win_rate_pct,avg_entry_vix,avg_exit_vix,avg_holding_days,profit_factor,avg_win_pct,avg_loss_pct,max_consecutive_losses,num_stop_loss,num_take_profit,num_trailing_stop,num_vix_exit,num_end_of_data,pct_stop_loss,pct_take_profit,pct_trailing_stop,pct_vix_exit,pct_end_of_data
A2A.MI,2015-01-02,2026-04-08,2862,1915.0,182.0,0.273,5.008898028450173,2.8985013167197846,2.2059684701839393,400.8898028450173,189.85013167197846,120.59684701839393,-280.29295582662337,-48.30763593667643,-19.747599461356923,-20.48076483386709,91,1.0061793670176737,57.14285714285714,21.2789010989011,23.61274725274725,30.35164835164835,1.6368816428381217,4.525556622867812,-3.6863236407825117,4,18,0,20,53,0,19.78021978021978,0.0,21.978021978021978,58.24175824175825,0.0
AMP.MI,2015-01-02,2026-04-08,2862,1731.0,222.0,0.333,2.06545745262427,1.590215990776403,1.1404551391572129,106.54574526242699,59.02159907764031,14.045513915721287,-92.5002313467057,-82.38175144363512,-63.24487296669004,-66.35819826691743,111,0.3580169002204822,50.45045045045045,21.347657657657663,22.747477477477474,22.45945945945946,1.1606569105815958,5.126759325911623,-4.497429933210498,9,32,0,21,58,0,28.82882882882883,0.0,18.91891891891892,52.25225225225225,0.0
AZM.MI,2015-01-02,2026-04-08,2862,1798.0,190.0,0.28500000000000003,4.005622449741004,4.462676637108954,3.356343217086643,300.5622449741004,346.2676637108954,235.63432170866432,-64.92792326543608,-57.91609730491834,-45.66111992530821,-47.67722846157747,95,1.634545005261692,49.473684210526315,21.381368421052628,23.05957894736842,27.357894736842105,1.78948930892505,7.488683655035577,-4.097632422641902,7,25,0,19,51,0,26.31578947368421,0.0,20.0,53.68421052631579,0.0
BAMI.MI,2015-01-02,2026-04-08,2862,1648.0,274.0,0.41100000000000003,2.540174004787567,1.2496678456780823,0.8287247480610802,154.0174004787567,24.966784567808233,-17.12752519389198,-171.1449256726487,-91.17940801352935,-68.44418748231564,-75.38810322337035,137,0.166941563840542,35.76642335766424,20.19014598540146,21.435985401459853,17.37226277372263,1.0605691624976479,8.172903879005627,-4.290923816194563,15,54,0,21,62,0,39.416058394160586,0.0,15.328467153284672,45.25547445255474,0.0
BMED.MI,2015-01-02,2026-04-08,2862,1888.0,168.0,0.252,6.914729396227674,3.395434626508489,2.640052342703886,591.4729396227674,239.54346265084888,164.0052342703886,-427.4677053523788,-56.17409235765405,-39.6707674229147,-41.88982861473502,84,1.4640460471669205,48.80952380952381,21.45035714285714,23.680119047619048,32.464285714285715,1.8180577756017575,6.666131387112728,-3.4960818351069887,5,20,0,13,51,0,23.809523809523807,0.0,15.476190476190476,60.71428571428571,0.0
BPE.MI,2015-01-02,2026-04-08,2862,1581.0,226.0,0.339,4.613642872590838,1.1575162053407986,0.8242521751143863,361.3642872590838,15.751620534079859,-17.574782488561368,-378.9390697476452,-80.4056644672082,-72.94342884378051,-79.173269376299,113,0.24471632792126646,40.707964601769916,18.757610619469027,20.257610619469027,20.17699115044248,1.0726123506322212,8.880059102177052,-5.684026472314049,9,50,0,23,40,0,44.24778761061947,0.0,20.353982300884958,35.39823008849557,0.0
CPR.MI,2015-01-02,2026-04-08,2862,1712.0,206.0,0.309,2.8232625714415636,1.509481769018878,1.1086816886351478,182.32625714415636,50.9481769018878,10.868168863514782,-171.45808828064156,-61.1309641977835,-44.11095369572317,-46.20682593345747,103,0.2432279418118779,45.63106796116505,22.741650485436896,23.93436893203883,23.932038834951456,1.139295613443115,4.359651925325886,-3.211627901494522,7,27,0,12,64,0,26.21359223300971,0.0,11.650485436893204,62.13592233009708,0.0
DIA.MI,2015-01-02,2026-04-08,2862,1605.0,196.0,0.294,2.11669520892707,1.3395010992705862,0.9981352939879474,111.66952089270698,33.95010992705863,-0.1864706012052575,-111.85599149391224,-71.89876365306046,-48.377006423861445,-57.05683176253915,98,0.25607289141964024,43.87755102040816,21.640000000000004,23.292551020408165,23.591836734693878,1.105500954639109,6.115387172234973,-4.324845546308711,6,29,0,17,52,0,29.591836734693878,0.0,17.346938775510203,53.06122448979592,0.0
ENEL.MI,2015-01-02,2026-04-08,2862,1926.0,148.0,0.222,4.797439042077324,2.129922764650426,1.7066303162389407,379.7439042077324,112.99227646504262,70.66303162389407,-309.0808725838383,-50.0765882338449,-35.479448092838396,-39.057354413383614,74,0.8791299213184074,56.75675675675676,20.859189189189188,23.19054054054054,37.4054054054054,1.5157544589641967,4.552200205442351,-3.9417748265942683,7,18,0,14,42,0,24.324324324324326,0.0,18.91891891891892,56.75675675675676,0.0
ENI.MI,2015-01-02,2026-04-08,2862,1920.0,156.0,0.234,3.192696142077283,1.5773510841458305,1.2483175427863473,219.2696142077283,57.735108414583046,24.831754278634733,-194.43785992909358,-59.77092084042177,-31.844364069884268,-36.14962720198939,79,0.46580658490153537,46.835443037974684,21.912151898734173,24.619620253164555,35.0,1.2422651216250946,5.099814608199364,-3.616533816575124,7,19,0,8,51,1,24.050632911392405,0.0,10.126582278481013,64.55696202531645,1.2658227848101267
