ticker,trade_num,entry_date,entry_price,entry_vix,exit_date,exit_price,exit_vix,exit_reason,holding_days,gross_return_pct,net_return_pct
A2A.MI,1,2015-03-19,0.581055760383606,14.07,2015-04-29,0.6173716187477112,13.39,trailing_stop,41,6.249978201770157,5.949978201770156
A2A.MI,2,2015-04-30,0.6246349215507507,14.55,2015-06-08,0.6700297594070435,15.29,trailing_stop,39,7.267419141983478,6.967419141983477
A2A.MI,3,2015-06-09,0.6609508395195007,14.47,2015-07-07,0.6342037320137024,16.09,stop_loss,28,-4.046762014137539,-4.346762014137539
A2A.MI,4,2015-07-10,0.7086320519447327,16.83,2015-08-21,0.7030028700828552,28.03,vix_exit,42,-0.7943730242555347,-1.0943730242555345
A2A.MI,5,2015-10-09,0.7499114274978638,17.08,2015-12-16,0.7936928868293762,17.86,trailing_stop,68,5.838217384897382,5.538217384897381
A2A.MI,6,2015-12-17,0.794943630695343,18.94,2016-01-08,0.7724275588989258,27.01,vix_exit,22,-2.8324111203611113,-3.1324111203611116
A2A.MI,7,2016-03-18,0.696122944355011,14.02,2016-06-13,0.7549151182174683,20.97,trailing_stop,87,8.445659540346107,8.145659540346106
A2A.MI,8,2016-06-23,0.7786141037940979,17.25,2016-06-24,0.7034731507301331,25.76,vix_exit,1,-9.650602615315018,-9.950602615315018
A2A.MI,9,2016-07-04,0.7695452570915222,14.77,2016-11-10,0.7313271164894104,14.74,stop_loss,129,-4.966327873497178,-5.266327873497179
A2A.MI,10,2016-12-09,0.7650110125541687,11.75,2017-01-30,0.7980470061302185,11.88,trailing_stop,52,4.318368367763936,4.0183683677639355
A2A.MI,11,2017-01-31,0.7993425130844116,11.99,2017-04-04,0.8673578500747681,11.79,trailing_stop,63,8.508910245234746,8.208910245234746
A2A.MI,12,2017-04-05,0.8757789134979248,12.89,2017-06-29,0.976917803287506,11.44,trailing_stop,85,11.548449983298315,11.248449983298315
A2A.MI,13,2017-06-30,0.9742377400398254,11.18,2017-08-11,0.9313552379608154,15.51,stop_loss,42,-4.401646571118977,-4.701646571118978
A2A.MI,14,2017-09-12,0.989648699760437,10.58,2017-10-06,0.9467660784721376,9.65,stop_loss,24,-4.333115508430419,-4.633115508430419
A2A.MI,15,2017-10-09,0.9594969153404236,10.33,2017-12-22,1.0399017333984375,9.9,trailing_stop,74,8.379893334986566,8.079893334986565
A2A.MI,16,2017-12-27,1.0425819158554075,10.47,2018-02-05,0.9963489770889282,37.32,vix_exit,40,-4.4344658259822705,-4.73446582598227
A2A.MI,17,2018-04-13,1.0720635652542114,17.41,2018-05-25,1.0257266759872437,13.22,stop_loss,42,-4.32221472389841,-4.62221472389841
A2A.MI,18,2018-05-28,1.0069314241409302,13.22,2018-08-27,1.0654053688049316,12.16,trailing_stop,91,5.807142697318124,5.507142697318123
A2A.MI,19,2018-08-28,1.0333839654922483,12.5,2018-10-12,0.9916170835494996,21.31,stop_loss,45,-4.041758275478291,-4.341758275478291
A2A.MI,20,2018-12-03,1.0473062992095947,16.44,2018-12-18,1.1064761877059937,25.58,vix_exit,15,5.649721436895261,5.34972143689526
A2A.MI,21,2019-01-10,1.1040396690368652,19.5,2019-04-09,1.0525271892547607,14.28,stop_loss,89,-4.665817834882924,-4.965817834882924
A2A.MI,22,2019-04-10,1.0539193153381348,13.3,2019-05-08,1.0037989616394043,19.4,stop_loss,28,-4.755615820804094,-5.0556158208040936
A2A.MI,23,2019-06-07,1.0979344844818115,16.3,2019-11-22,1.2488459348678589,12.34,trailing_stop,168,13.745032378436717,13.445032378436716
A2A.MI,24,2019-11-25,1.2466589212417605,11.87,2019-12-02,1.19052255153656,14.91,stop_loss,7,-4.502945332415753,-4.802945332415753
A2A.MI,25,2019-12-03,1.196355223655701,15.96,2020-02-24,1.2652493715286257,25.03,vix_exit,83,5.758669875858868,5.4586698758588685
A2A.MI,26,2020-05-15,0.9113003015518188,31.89,2020-05-18,0.9443325996398926,29.3,vix_exit,3,3.6247434607257656,3.3247434607257653
A2A.MI,27,2020-05-19,0.9027506709098816,30.53,2020-05-20,0.9140204787254332,27.99,vix_exit,1,1.2483854267527406,0.9483854267527406
A2A.MI,28,2020-05-21,0.9105230569839478,29.53,2020-05-22,0.9128546714782716,28.16,vix_exit,1,0.2560741846612036,-0.04392581533879643
A2A.MI,29,2020-05-25,0.9462755918502808,28.16,2020-05-26,0.9711468815803528,28.01,vix_exit,1,2.6283346991377465,2.3283346991377467
A2A.MI,30,2020-05-27,0.950550377368927,27.62,2020-05-28,0.9715355038642884,28.59,vix_exit,1,2.2076816752676587,1.9076816752676589
A2A.MI,31,2020-05-29,0.9695923924446106,27.51,2020-06-01,0.9816395044326782,28.23,vix_exit,3,1.2424924207267596,0.9424924207267596
A2A.MI,32,2020-06-02,1.0057337284088137,26.84,2020-06-03,1.042651891708374,25.66,vix_exit,1,3.6707691366748785,3.370769136674878
A2A.MI,33,2020-06-04,1.0434291362762451,25.81,2020-06-08,1.052367091178894,25.81,vix_exit,4,0.8565943380253405,0.5565943380253404
A2A.MI,34,2020-06-10,1.0119514465332031,27.57,2020-06-11,0.9602656364440918,40.79,vix_exit,1,-5.107538535191514,-5.407538535191514
A2A.MI,35,2020-06-12,0.9563794732093812,36.09,2020-06-15,0.9781419038772584,34.4,vix_exit,3,2.2755016473584133,1.9755016473584135
A2A.MI,36,2020-06-16,1.0115628242492676,33.67,2020-06-17,1.0177804231643677,33.47,vix_exit,1,0.6146527695612525,0.3146527695612525
A2A.MI,37,2020-06-18,1.0096197128295898,32.94,2020-06-19,1.01933491230011,35.12,vix_exit,1,0.9622632509117768,0.6622632509117767
A2A.MI,38,2020-06-22,1.0115628242492676,31.77,2020-06-23,1.0146716833114624,31.37,vix_exit,1,0.30733227711310374,0.007332277113103729
A2A.MI,39,2020-06-24,0.9711468815803528,33.84,2020-06-25,0.97231262922287,32.22,vix_exit,1,0.12003824185895517,-0.17996175814104484
A2A.MI,40,2020-06-26,0.9637632369995116,34.73,2020-06-29,0.9773648977279664,31.78,vix_exit,3,1.4113072802819149,1.111307280281915
A2A.MI,41,2020-06-30,0.9796963930130004,30.43,2020-07-01,0.9843598008155824,28.62,vix_exit,1,0.4760054069649078,0.17600540696490777
A2A.MI,42,2020-07-02,0.9999043345451356,27.68,2020-07-03,0.996795415878296,27.68,vix_exit,1,-0.31092161114131267,-0.6109216111413127
A2A.MI,43,2020-07-06,0.9936864376068116,27.94,2020-07-07,0.9831939339637756,29.43,vix_exit,1,-1.055916961924741,-1.3559169619247409
A2A.MI,44,2020-07-08,0.9828053712844848,28.08,2020-07-09,0.9583226442337036,29.26,vix_exit,1,-2.4911063539247102,-2.79110635392471
A2A.MI,45,2020-07-10,0.961431622505188,27.29,2020-07-13,0.97231262922287,32.19,vix_exit,3,1.1317504503679077,0.8317504503679077
A2A.MI,46,2020-07-15,0.9606542587280272,27.76,2020-07-16,0.9738672375679016,28.0,vix_exit,1,1.3754145906113235,1.0754145906113237
A2A.MI,47,2020-07-17,0.973089873790741,25.68,2020-07-23,0.9855256676673888,26.08,vix_exit,6,1.2779697139590374,0.9779697139590374
A2A.MI,48,2020-08-25,0.9870800375938416,22.03,2020-08-31,0.950550377368927,26.41,vix_exit,6,-3.7007799604539815,-4.000779960453982
A2A.MI,49,2020-11-26,1.0170034170150757,21.25,2020-12-02,0.975421667098999,21.17,stop_loss,6,-4.0886539042435,-4.3886539042435
A2A.MI,50,2020-12-03,0.9765875339508056,21.28,2020-12-21,0.9548251032829284,25.16,vix_exit,18,-2.2284157754745015,-2.5284157754745014
A2A.MI,51,2020-12-22,0.9715355038642884,24.23,2021-01-04,1.0344908237457275,26.97,vix_exit,13,6.4799813934780515,6.179981393478052
A2A.MI,52,2021-01-07,1.0414860248565674,22.37,2021-01-27,1.0535330772399902,37.21,vix_exit,20,1.1567176223110653,0.8567176223110654
A2A.MI,53,2021-02-01,1.0449833869934082,30.24,2021-02-02,1.0535330772399902,25.56,vix_exit,1,0.8181651835806658,0.5181651835806658
A2A.MI,54,2021-02-03,1.1087162494659424,22.91,2021-02-25,1.0931717157363892,28.89,vix_exit,22,-1.4020299366082956,-1.7020299366082954
A2A.MI,55,2021-03-01,1.1149340867996216,23.35,2021-03-03,1.0791815519332886,26.67,vix_exit,2,-3.206694932877996,-3.506694932877996
A2A.MI,56,2021-03-05,1.0772385597229004,24.66,2021-03-08,1.1083276271820068,25.47,vix_exit,3,2.8859965305274127,2.585996530527413
A2A.MI,57,2021-03-09,1.1122138500213623,24.03,2021-05-12,1.29874849319458,27.59,vix_exit,64,16.771472785529063,16.471472785529063
A2A.MI,58,2021-05-14,1.3306149244308472,18.81,2021-09-02,1.5065059661865234,16.41,trailing_stop,111,13.218778665879704,12.918778665879705
A2A.MI,59,2021-09-03,1.4975507259368896,16.41,2021-09-15,1.4279446601867676,18.18,stop_loss,12,-4.64799385720811,-4.947993857208111
A2A.MI,60,2021-09-23,1.484118103981018,18.63,2021-11-26,1.3921239376068115,28.62,vix_exit,64,-6.198574502085796,-6.498574502085797
A2A.MI,61,2022-05-04,1.3501973152160645,25.42,2022-05-05,1.3530466556549072,31.2,vix_exit,1,0.21103141050067276,-0.08896858949932725
A2A.MI,62,2022-05-06,1.3465338945388794,30.19,2022-05-09,1.3269952535629272,34.75,vix_exit,3,-1.4510322432428002,-1.7510322432428
A2A.MI,63,2022-05-13,1.331472873687744,28.87,2022-05-16,1.360373616218567,27.47,vix_exit,3,2.1705844033290234,1.8705844033290235
A2A.MI,64,2022-05-17,1.360373616218567,26.1,2022-05-18,1.3477551937103271,30.96,vix_exit,1,-0.927570364332353,-1.2275703643323528
A2A.MI,65,2022-05-19,1.3420562744140625,29.35,2022-05-20,1.355896234512329,29.43,vix_exit,1,1.0312503553034036,0.7312503553034035
A2A.MI,66,2022-05-25,1.3786221742630005,28.37,2022-05-26,1.3850783109664917,27.5,vix_exit,1,0.4683035587283113,0.1683035587283113
A2A.MI,67,2022-05-27,1.3631272315979004,25.72,2022-05-30,1.3579622507095337,26.54,vix_exit,3,-0.3789067350897346,-0.6789067350897346
A2A.MI,68,2022-05-31,1.3450496196746826,26.19,2022-06-01,1.3299850225448608,25.69,vix_exit,1,-1.1200030771701397,-1.4200030771701395
A2A.MI,69,2022-11-10,1.0583927631378174,23.53,2022-12-12,1.1216639280319214,25.0,vix_exit,32,5.978042093421343,5.678042093421343
A2A.MI,70,2022-12-14,1.1449062824249268,21.14,2022-12-16,1.0928258895874023,22.62,stop_loss,2,-4.548878247677834,-4.848878247677835
A2A.MI,71,2022-12-19,1.101434350013733,22.42,2023-03-13,1.1509321928024292,26.52,vix_exit,84,4.493943991131122,4.193943991131121
A2A.MI,72,2023-03-24,1.2395979166030884,21.74,2023-05-18,1.3790526390075684,16.05,trailing_stop,55,11.249996513920602,10.9499965139206
A2A.MI,73,2023-05-19,1.4104729890823364,16.81,2023-08-07,1.4992140531539917,15.77,trailing_stop,80,6.291581955737469,5.991581955737468
A2A.MI,74,2023-08-08,1.526547074317932,15.99,2023-09-21,1.634512424468994,17.54,trailing_stop,44,7.072520197210519,6.772520197210518
A2A.MI,75,2023-09-22,1.5994348526000977,17.2,2023-09-27,1.5201692581176758,18.22,stop_loss,5,-4.955850146291674,-5.2558501462916745
A2A.MI,76,2023-10-16,1.5844018459320068,17.21,2023-12-20,1.713778018951416,13.67,trailing_stop,65,8.165616150447308,7.865616150447307
A2A.MI,77,2023-12-21,1.696467041969299,13.65,2024-01-23,1.5989794731140137,12.55,stop_loss,33,-5.746505322149941,-6.046505322149942
A2A.MI,78,2024-01-24,1.613556981086731,13.14,2024-02-09,1.5124249458312988,12.93,stop_loss,16,-6.267645731811699,-6.5676457318117
